composite | 2023-02-02 2023-02-02 05:35:00 Buy: No option snapshot (expiry=2023-02-02, spot=17581.35)
composite | 2023-02-02 2023-02-02 05:36:00 Buy: No option snapshot (expiry=2023-02-02, spot=17585.1)
composite | 2023-02-02 2023-02-02 05:37:00 Buy: No option snapshot (expiry=2023-02-02, spot=17586.0)
composite | 2023-02-02 2023-02-02 05:38:00 Buy: No option snapshot (expiry=2023-02-02, spot=17577.3)
composite | 2023-02-02 2023-02-02 05:39:00 Buy: No option snapshot (expiry=2023-02-02, spot=17571.85)
composite | 2023-02-02 2023-02-02 05:40:00 Buy: No option snapshot (expiry=2023-02-02, spot=17567.65)
composite | 2023-02-02 2023-02-02 05:41:00 Buy: No option snapshot (expiry=2023-02-02, spot=17584.6)
composite | 2023-02-02 2023-02-02 05:42:00 Buy: No option snapshot (expiry=2023-02-02, spot=17592.05)
composite | 2023-02-02 2023-02-02 05:43:00 Buy: No option snapshot (expiry=2023-02-02, spot=17591.45)
composite | 2023-02-02 2023-02-02 05:44:00 Buy: No option snapshot (expiry=2023-02-02, spot=17601.65)
composite | 2023-02-02 2023-02-02 05:45:00 Buy: No option snapshot (expiry=2023-02-02, spot=17604.45)
composite | 2023-02-02 2023-02-02 05:47:00 Buy: No option snapshot (expiry=2023-02-02, spot=17601.9)
composite | 2023-02-02 2023-02-02 05:48:00 Buy: No option snapshot (expiry=2023-02-02, spot=17596.7)
composite | 2023-02-02 2023-02-02 05:49:00 Buy: No option snapshot (expiry=2023-02-02, spot=17596.75)
composite | 2023-02-02 2023-02-02 05:50:00 Buy: No option snapshot (expiry=2023-02-02, spot=17580.05)
composite | 2023-02-02 2023-02-02 05:51:00 Buy: No option snapshot (expiry=2023-02-02, spot=17593.35)
composite | 2023-02-02 2023-02-02 05:52:00 Buy: No option snapshot (expiry=2023-02-02, spot=17610.1)
composite | 2023-02-02 2023-02-02 05:53:00 Buy: No option snapshot (expiry=2023-02-02, spot=17602.95)
composite | 2023-02-02 2023-02-02 05:54:00 Buy: No option snapshot (expiry=2023-02-02, spot=17599.45)
composite | 2023-02-02 2023-02-02 05:55:00 Buy: No option snapshot (expiry=2023-02-02, spot=17613.85)
